model_id,model_name,plot_type,year,x_label,y_label,x_value,y_value,fitted_value,line_type,plot_note,value_format
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2007,GDP per capita growth,Refined usage growth,0.03122547247623575,0.06555535851510319,0.03599490349012935,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2008,GDP per capita growth,Refined usage growth,0.00805663557268188,-0.008265838233662448,0.025206255521706536,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2009,GDP per capita growth,Refined usage growth,-0.02561171259309225,-0.0003915645801868539,0.009528474304164527,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2010,GDP per capita growth,Refined usage growth,0.032564264737529935,0.07084499160604363,0.036618316675265807,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2011,GDP per capita growth,Refined usage growth,0.020628309319326688,0.029943561872909807,0.031060298303008577,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2012,GDP per capita growth,Refined usage growth,0.014620598769095716,0.03906844588766556,0.028262787383818686,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2013,GDP per capita growth,Refined usage growth,0.01630461859275445,0.04536354314175495,0.029046956961468598,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2014,GDP per capita growth,Refined usage growth,0.019320820594449728,0.06997384155455899,0.030451461716428964,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2015,GDP per capita growth,Refined usage growth,0.019138081464998624,0.006111935737361351,0.030366368617197832,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2016,GDP per capita growth,Refined usage growth,0.015999816724986182,0.01909225028204453,0.028905024931597682,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2017,GDP per capita growth,Refined usage growth,0.022840083999171812,0.008345397257940812,0.03209021873041941,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2018,GDP per capita growth,Refined usage growth,0.021811664626976368,0.03365425217464746,0.03161133174024766,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2019,GDP per capita growth,Refined usage growth,0.016108457911460983,-0.005228971771722657,0.028955614070820663,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2020,GDP per capita growth,Refined usage growth,-0.03834623076585675,0.02472177733973968,0.0035986024601288406,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2021,GDP per capita growth,Refined usage growth,0.05601633183035726,0.012263054542539953,0.047538851747854494,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2022,GDP per capita growth,Refined usage growth,0.025467925580479278,0.023674729799279426,0.033313882130335745,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2023,GDP per capita growth,Refined usage growth,0.01910599628373899,0.028889662373825287,0.030351428043052735,regression,Annual 1992-2024 sample.,pct
gdp_per_capita_only,GDP per capita only,driver_vs_usage,2024,GDP per capita growth,Refined usage growth,0.019144296216821566,0.02815366110359352,0.030369262537592194,regression,Annual 1992-2024 sample.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1961,World real GDP growth,Refined usage growth,0.039138180754848984,0.06585056986070081,0.03484911214456239,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1962,World real GDP growth,Refined usage growth,0.053211915500134266,-0.0003960396039603964,0.05422969255723753,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1963,World real GDP growth,Refined usage growth,0.050194857425174044,0.08954041204437391,0.05007497899401184,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1964,World real GDP growth,Refined usage growth,0.06629732895062146,0.09000000000000008,0.0722492809749619,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1965,World real GDP growth,Refined usage growth,0.056309478459598106,0.03302752293577971,0.058495267339320436,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1966,World real GDP growth,Refined usage growth,0.054188856654234785,0.04069110285806565,0.0555750132512942,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1967,World real GDP growth,Refined usage growth,0.03738066011348962,-0.03878975950349106,0.032428875389126005,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1968,World real GDP growth,Refined usage growth,0.05947222989110856,0.052945924132364874,0.0628506115001322,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1969,World real GDP growth,Refined usage growth,0.05961314480553259,0.0941284684960908,0.06304466182719659,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1970,World real GDP growth,Refined usage growth,0.0376536422839322,0.021577693708841217,0.03280479215899844,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1971,World real GDP growth,Refined usage growth,0.04108978445058975,0.0006857769853243489,0.03753661571369486,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1972,World real GDP growth,Refined usage growth,0.055377617784956756,0.08854166666666674,0.057212025821332724,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1973,World real GDP growth,Refined usage growth,0.06457727016825676,0.1004784688995215,0.06988063198807415,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1974,World real GDP growth,Refined usage growth,0.019919071030607416,-0.04919908466819223,0.008382967356984183,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1975,World real GDP growth,Refined usage growth,0.008144832816052272,-0.10409145607701564,-0.00783103515515091,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1976,World real GDP growth,Refined usage growth,0.052212033859154516,0.14694425789120213,0.05285278110502635,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1977,World real GDP growth,Refined usage growth,0.039414487575763824,0.060662841082093966,0.035229607205626734,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1978,World real GDP growth,Refined usage growth,0.04137116820103337,0.051893562989952624,0.037924102084654035,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1979,World real GDP growth,Refined usage growth,0.04140877320686265,0.03369371260627685,0.03797588697704997,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1980,World real GDP growth,Refined usage growth,0.01815328330445709,-0.04589764419171405,0.00595134621037734,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1981,World real GDP growth,Refined usage growth,0.01888174920877428,0.013409961685823646,0.006954497988638682,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1982,World real GDP growth,Refined usage growth,0.004110996849695292,-0.04536862003780717,-0.013385927565192409,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1983,World real GDP growth,Refined usage growth,0.02576875451990479,0.0462046204620461,0.016438416980333454,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1984,World real GDP growth,Refined usage growth,0.04728119481887516,0.04416403785488954,0.046062648688035515,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1985,World real GDP growth,Refined usage growth,0.03659925628606664,-0.013293051359516639,0.031352824149975256,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1986,World real GDP growth,Refined usage growth,0.03305047278635298,0.03204735660338853,0.026465885094482836,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1987,World real GDP growth,Refined usage growth,0.03751407205045498,0.017899525316455778,0.03261259355769773,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1988,World real GDP growth,Refined usage growth,0.04529175124832108,0.036432526960070044,0.04332303679443211,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1989,World real GDP growth,Refined usage growth,0.03638243262582708,0.038713910761154935,0.0310542418291701,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1990,World real GDP growth,Refined usage growth,0.027083566103490275,-0.01759768973919318,0.018249010407336303,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1991,World real GDP growth,Refined usage growth,0.012251812675762475,-0.029671137240492418,-0.002175418159028719,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1992,World real GDP growth,Refined usage growth,0.0206322489260804,0.028685032661175835,0.009365066409006383,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1993,World real GDP growth,Refined usage growth,0.018580269912708225,0.011595803423522844,0.006539338555417006,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1994,World real GDP growth,Refined usage growth,0.034162275853171,0.051673944687045115,0.027996920681660136,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1995,World real GDP growth,Refined usage growth,0.0317807321635466,0.041782006920415116,0.024717357735617906,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1996,World real GDP growth,Refined usage growth,0.03586234018001111,0.03703396163746575,0.030338035814875427,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1997,World real GDP growth,Refined usage growth,0.039967891563929436,0.047481783969893554,0.03599168569349448,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1998,World real GDP growth,Refined usage growth,0.027812528220544586,0.02736584620088678,0.01925284550747543,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,1999,World real GDP growth,Refined usage growth,0.03578568191207454,0.05825892857142856,0.030232471673378534,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2000,World real GDP growth,Refined usage growth,0.04567201860180714,0.06320748084089156,0.04384669324781387,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2001,World real GDP growth,Refined usage growth,0.020299444759142693,-0.012167702684830028,0.008906770296727422,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2002,World real GDP growth,Refined usage growth,0.023189153527320983,0.0130539563529255,0.012886114384454615,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2003,World real GDP growth,Refined usage growth,0.030741631839529493,0.03356902134408246,0.023286439237370903,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2004,World real GDP growth,Refined usage growth,0.04495378597550359,0.07045585320631664,0.04285763345515678,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2005,World real GDP growth,Refined usage growth,0.04059151393905025,-0.011407752493579393,0.03685046012735406,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2006,World real GDP growth,Refined usage growth,0.04489135105412356,0.022051715804736638,0.04277165592067397,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2007,World real GDP growth,Refined usage growth,0.04431233768352816,0.06555535851510319,0.0419743114068023,regression,Annual 1961-2024 sample with intercept.,pct
world_gdp_annual,World real GDP only,driver_vs_usage,2008,World real GDP growth,Refined usage growth,0.020916044806491785,-0.008265838233662448,0.00975587446249349,regression,Annual 1961-2024 sample with intercept.,pct
