scenario,year,step_order,step,kt,note
bear_case,2030,3,Smelter / refinery constraint,-1.4781526429487712,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2030,4,Blending / maintenance constraint,-22.125765410425362,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2030,5,Primary refined supply,26035.430141224722,Mine-linked refined output after conversion constraints.
bear_case,2030,6,Secondary refined supply,5183.289067092224,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2030,7,Total refined supply,31218.719208316947,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2031,1,Risk-adjusted mine supply,26795.846729431258,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2031,2,Payable / route calibration,-237.89443638787998,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2031,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2031,4,Blending / maintenance constraint,-22.57816652490422,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2031,5,Primary refined supply,26535.374126518473,Mine-linked refined output after conversion constraints.
bear_case,2031,6,Secondary refined supply,5252.086991969344,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2031,7,Total refined supply,31787.461118487816,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2032,1,Risk-adjusted mine supply,27282.153162330433,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2032,2,Payable / route calibration,-242.21188139846345,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2032,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2032,4,Blending / maintenance constraint,-23.013029582928073,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2032,5,Primary refined supply,27016.92825134904,Mine-linked refined output after conversion constraints.
bear_case,2032,6,Secondary refined supply,5321.823350435676,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2032,7,Total refined supply,32338.751601784716,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2033,1,Risk-adjusted mine supply,27770.663838776898,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2033,2,Payable / route calibration,-246.54889575804555,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2033,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2033,4,Blending / maintenance constraint,-23.44963423265696,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2033,5,Primary refined supply,27500.665308786196,Mine-linked refined output after conversion constraints.
bear_case,2033,6,Secondary refined supply,5392.51122788414,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2033,7,Total refined supply,32893.17653667033,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2034,1,Risk-adjusted mine supply,28083.08874406822,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2034,2,Payable / route calibration,-249.3226146671077,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2034,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2034,4,Blending / maintenance constraint,-23.72257396225384,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2034,5,Primary refined supply,27810.043555438857,Mine-linked refined output after conversion constraints.
bear_case,2034,6,Secondary refined supply,5464.16389520155,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2034,7,Total refined supply,33274.20745064041,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2035,1,Risk-adjusted mine supply,28355.69768716304,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2035,2,Payable / route calibration,-251.74284611292387,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2035,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2035,4,Blending / maintenance constraint,-23.955223907545886,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2035,5,Primary refined supply,28079.99961714257,Mine-linked refined output after conversion constraints.
bear_case,2035,6,Secondary refined supply,5536.794811428807,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2035,7,Total refined supply,33616.794428571375,Primary refined supply plus secondary refined supply used in the Model tab.
